   cube 1: map (-0.76, +0.65) height 0.020 m, 2 sighting(s), conf 0.88
   cube 2: map (-0.79, -1.88) height 0.020 m, 10 sighting(s), conf 0.96
   cube 3: map (+0.26, -2.00) height 0.020 m, 6 sighting(s), conf 0.95
   cube 4: map (-0.26, -0.30) height 0.020 m, 10 sighting(s), conf 0.94
   cube 5: map (-0.88, +1.12) height 0.020 m, 3 sighting(s), conf 0.68
   cube 8: map (-0.84, -0.67) height 0.020 m, 14 sighting(s), conf 0.95
   cube 9: map (+0.95, +0.79) height 0.020 m, 2 sighting(s), conf 0.91
   cube 10: map (+0.58, -1.26) height 0.170 m, 2 sighting(s), conf 0.41
   cube 11: map (+0.83, -0.69) height 0.193 m, 2 sighting(s), conf 0.87
   cube 12: map (-1.32, -1.66) height 0.020 m, 2 sighting(s), conf 0.52
   cube 13: map (+0.40, +0.80) height 0.020 m, 2 sighting(s), conf 0.94
