epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.299,0.76518,2.97267,0.86665,0.00333,0.64,0.04217,0.01874,1.65879,4.39377,1.26847,0.0003,0.0003,0.0003
2,353.606,0.75957,1.47101,0.85526,0.00325,0.624,0.01153,0.005,1.53883,4.51373,1.26461,0.000613862,0.000613862,0.000613862
3,617.927,0.75242,1.42462,0.86373,0.00279,0.536,0.00414,0.00182,1.70065,4.83128,1.40639,0.000921388,0.000921388,0.000921388
4,649.004,0.74756,1.33422,0.87736,0.00287,0.552,0.01008,0.00423,1.90413,5.07312,1.58412,0.00122258,0.00122258,0.00122258
5,679.76,0.77361,1.26526,0.91502,0.003,0.576,0.01514,0.00759,1.93994,4.79946,1.44974,0.00151743,0.00151743,0.00151743
6,710.769,0.79836,1.19378,0.89264,0.38475,0.01047,0.13118,0.07716,1.8207,4.32696,1.30929,0.00180595,0.00180595,0.00180595
7,741.462,0.77646,1.08499,0.88468,0.60947,0.208,0.28652,0.15754,1.54336,3.75087,1.22192,0.0018812,0.0018812,0.0018812
8,771.693,0.77587,0.99201,0.88711,0.33439,0.30144,0.2062,0.11109,1.64237,3.58682,1.28645,0.0018614,0.0018614,0.0018614
9,802.393,0.71852,0.99605,0.87563,0.42079,0.4,0.33767,0.19955,1.60178,3.12574,1.25793,0.0018416,0.0018416,0.0018416
10,833.067,0.78156,0.90899,0.89325,0.48461,0.52656,0.49483,0.3107,1.46602,2.94996,1.25427,0.0018218,0.0018218,0.0018218
11,863.137,0.71471,0.82398,0.8779,0.48421,0.528,0.42585,0.28093,1.55747,3.05351,1.30998,0.001802,0.001802,0.001802
12,894.068,0.70748,0.80939,0.87236,0.5503,0.464,0.44294,0.26008,1.53327,2.64793,1.40549,0.0017822,0.0017822,0.0017822
13,960.491,0.68517,0.74923,0.8657,0.66182,0.57929,0.55261,0.31508,1.40446,2.37706,1.36572,0.0017624,0.0017624,0.0017624
14,992.436,0.71393,0.74273,0.86273,0.59948,0.608,0.46691,0.24027,1.85101,2.67399,1.60568,0.0017426,0.0017426,0.0017426
15,1024.18,0.71378,0.70417,0.87453,0.54802,0.5529,0.56581,0.35567,1.55326,2.35247,1.35768,0.0017228,0.0017228,0.0017228
16,1056.1,0.70236,0.70223,0.87595,0.51824,0.52,0.4785,0.28633,1.66124,3.45142,1.44191,0.001703,0.001703,0.001703
17,1088.58,0.6679,0.66519,0.85192,0.43221,0.488,0.37119,0.21224,1.70758,2.96594,1.41147,0.0016832,0.0016832,0.0016832
18,1120.76,0.65638,0.62996,0.87218,0.35662,0.43014,0.22024,0.13279,1.63905,3.23202,1.37452,0.0016634,0.0016634,0.0016634
19,1152.51,0.6678,0.6105,0.87036,0.51399,0.648,0.47196,0.29386,1.70357,2.36657,1.32531,0.0016436,0.0016436,0.0016436
20,1183.3,0.65583,0.60287,0.86437,0.52148,0.616,0.55282,0.33996,1.79244,2.4341,1.36537,0.0016238,0.0016238,0.0016238
21,1216.42,0.65603,0.5954,0.87555,0.56634,0.496,0.4931,0.29273,1.82558,2.32451,1.44078,0.001604,0.001604,0.001604
22,1249.06,0.66266,0.57509,0.85944,0.55994,0.48,0.50297,0.30538,1.68294,2.41664,1.40152,0.0015842,0.0015842,0.0015842
23,1280.79,0.66604,0.5665,0.86782,0.57626,0.528,0.51352,0.3038,1.93986,2.46397,1.5594,0.0015644,0.0015644,0.0015644
24,1311.89,0.64488,0.56089,0.86913,0.54858,0.544,0.4876,0.27744,1.92893,2.55782,1.52659,0.0015446,0.0015446,0.0015446
25,1343.59,0.63586,0.53245,0.85783,0.53343,0.608,0.52908,0.31356,1.76511,2.03047,1.37093,0.0015248,0.0015248,0.0015248
26,1375.24,0.65162,0.51598,0.85446,0.46462,0.488,0.4634,0.28621,1.57086,2.25656,1.25315,0.001505,0.001505,0.001505
27,1405.68,0.67268,0.51664,0.85287,0.44794,0.616,0.50468,0.29017,1.75202,2.52767,1.41671,0.0014852,0.0014852,0.0014852
28,1435.62,0.67045,0.53258,0.85948,0.38577,0.54265,0.40948,0.22843,1.74424,2.62361,1.39956,0.0014654,0.0014654,0.0014654
29,1465.96,0.60804,0.49707,0.84938,0.50901,0.576,0.5401,0.29469,1.54114,2.58834,1.23319,0.0014456,0.0014456,0.0014456
30,1496.37,0.61384,0.47935,0.84547,0.55773,0.60532,0.4782,0.23773,1.84628,2.45531,1.39449,0.0014258,0.0014258,0.0014258
31,1528.36,0.63602,0.4946,0.85693,0.61278,0.58238,0.51261,0.28335,1.81028,2.4558,1.36891,0.001406,0.001406,0.001406
32,1558.97,0.62194,0.49236,0.8387,0.34638,0.568,0.34612,0.20406,1.53577,3.18289,1.23389,0.0013862,0.0013862,0.0013862
33,1590.61,0.61518,0.4697,0.83987,0.44889,0.496,0.35938,0.21448,1.43887,3.05487,1.21358,0.0013664,0.0013664,0.0013664
34,1620.52,0.55037,0.45363,0.84201,0.64452,0.47866,0.4869,0.27594,1.64822,2.40071,1.37356,0.0013466,0.0013466,0.0013466
35,1679.58,0.60412,0.46581,0.83542,0.53608,0.616,0.5108,0.29114,1.70996,2.31822,1.45069,0.0013268,0.0013268,0.0013268
