epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.96,1.29168,3.13779,1.4451,0.19977,0.2,0.09234,0.04118,1.95467,4.41532,1.37485,0.000664294,0.000664294,0.000664294
2,452.061,1.53985,2.58361,1.61171,0.51517,0.45055,0.42462,0.19228,1.87413,2.52069,1.38429,0.00131709,0.00131709,0.00131709
3,675.779,1.59976,2.21901,1.65998,0.28843,0.16,0.1102,0.05905,1.9984,3.99208,1.52263,0.00195643,0.00195643,0.00195643
4,917.712,1.53295,2.05383,1.60781,0.28985,0.264,0.25128,0.1004,1.968,3.13657,1.42608,0.00193813,0.00193813,0.00193813
5,1165.31,1.4977,1.88061,1.59537,0.47323,0.416,0.40172,0.14799,2.04777,2.90196,1.4691,0.00191663,0.00191663,0.00191663
6,1411.92,1.43201,1.78215,1.54324,0.3334,0.528,0.33835,0.18519,1.67805,2.64259,1.26911,0.00189355,0.00189355,0.00189355
7,1661.83,1.34727,1.72418,1.47597,0.44238,0.472,0.44858,0.24988,1.68314,2.68313,1.26742,0.00187087,0.00187087,0.00187087
8,1928.31,1.3289,1.65658,1.46607,0.38483,0.392,0.40346,0.19523,2.01164,2.42915,1.41198,0.00184769,0.00184769,0.00184769
9,2206,1.30321,1.78628,1.45,0.39582,0.512,0.42999,0.21902,1.7307,2.40435,1.29673,0.001824,0.001824,0.001824
10,2478.12,1.27805,1.59538,1.42879,0.40728,0.528,0.42118,0.21406,1.90543,2.5868,1.43777,0.00179978,0.00179978,0.00179978
11,2752.75,1.22374,1.49626,1.40071,0.36469,0.384,0.38939,0.19729,1.75602,2.16865,1.37705,0.001775,0.001775,0.001775
12,3023.48,1.19466,1.49669,1.3771,0.52027,0.408,0.40892,0.2273,1.80361,2.48807,1.32544,0.00174966,0.00174966,0.00174966
13,3245.64,1.18669,1.45495,1.37691,0.41149,0.36919,0.29375,0.14127,1.85974,2.62941,1.41686,0.00172372,0.00172372,0.00172372
14,3465.08,1.21746,1.46333,1.41129,0.37878,0.464,0.35216,0.18198,1.87282,2.51777,1.37847,0.00170414,0.00170414,0.00170414
15,3684.89,1.16243,1.40123,1.36446,0.48453,0.54144,0.5419,0.32621,1.64107,1.94945,1.23393,0.001685,0.001685,0.001685
