epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1994,0.76518,2.97267,0.86665,0.00333,0.64,0.04217,0.01874,1.65879,4.39377,1.26847,0.0003,0.0003,0.0003
2,84.4721,0.76023,1.47301,0.8553,0.00329,0.632,0.01009,0.00432,1.54922,4.53898,1.26678,0.000617354,0.000617354,0.000617354
3,123.314,0.76609,1.46309,0.87103,0.00258,0.496,0.00386,0.00173,1.79527,5.21707,1.44342,0.000932643,0.000932643,0.000932643
4,161.171,0.75997,1.37252,0.88761,0.00329,0.632,0.07468,0.04071,1.87012,4.9498,1.50555,0.00124572,0.00124572,0.00124572
5,200.128,0.77315,1.27866,0.91203,0.12259,0.144,0.04258,0.02047,1.73592,4.51445,1.35696,0.00155657,0.00155657,0.00155657
6,238.916,0.79314,1.2238,0.88818,0.25817,0.0224,0.11239,0.05913,1.48429,4.00816,1.19083,0.00186504,0.00186504,0.00186504
7,281.386,0.79189,1.08988,0.89139,0.37873,0.104,0.11057,0.06022,1.57831,3.97281,1.30101,0.00195616,0.00195616,0.00195616
8,334.025,0.82701,1.02891,0.89447,0.43117,0.336,0.32751,0.17781,2.03202,3.6725,1.55542,0.00194828,0.00194828,0.00194828
9,386.332,0.79399,1.03441,0.89438,0.35849,0.464,0.35622,0.20083,1.86402,3.4296,1.4268,0.0019386,0.0019386,0.0019386
10,443.425,0.84983,1.03101,0.92169,0.65051,0.432,0.45903,0.26557,2.04512,3.69268,1.49608,0.001929,0.001929,0.001929
11,502.783,0.7415,0.84264,0.8795,0.52922,0.352,0.33434,0.18311,1.75747,3.73248,1.37198,0.00191852,0.00191852,0.00191852
12,551.725,0.72496,0.83545,0.87673,0.59515,0.48,0.47855,0.2806,1.80633,4.81819,1.58082,0.00190771,0.00190771,0.00190771
13,625.477,0.70124,0.77892,0.88143,0.55451,0.51783,0.4466,0.24767,1.72631,2.69822,1.44784,0.00189889,0.00189889,0.00189889
14,693.683,0.73226,0.75237,0.86934,0.71368,0.55834,0.5734,0.37817,1.46966,2.2729,1.25014,0.00188509,0.00188509,0.00188509
15,760.079,0.70105,0.74838,0.88354,0.73216,0.648,0.64061,0.40337,1.57244,2.09155,1.35409,0.00187284,0.00187284,0.00187284
16,819.834,0.69687,0.71355,0.87404,0.46355,0.488,0.37448,0.2198,1.66241,2.67122,1.45748,0.00186056,0.00186056,0.00186056
17,866.872,0.67948,0.67226,0.85858,0.44091,0.536,0.37026,0.20093,1.58104,2.75962,1.35043,0.00184986,0.00184986,0.00184986
18,912.674,0.67654,0.67172,0.87482,0.62412,0.6,0.56353,0.38196,1.4501,2.12896,1.32824,0.00184123,0.00184123,0.00184123
19,953.441,0.68762,0.63052,0.87858,0.59236,0.544,0.52821,0.31374,1.69781,2.21371,1.38958,0.00183268,0.00183268,0.00183268
20,991.412,0.67079,0.60964,0.87428,0.66154,0.56294,0.50706,0.29768,1.73727,2.10687,1.40453,0.00182583,0.00182583,0.00182583
21,1028.57,0.65594,0.58158,0.87347,0.62927,0.62465,0.58205,0.33272,1.68555,1.89016,1.36223,0.00181835,0.00181835,0.00181835
22,1066.15,0.69305,0.57885,0.87489,0.74822,0.57059,0.63758,0.41416,1.69583,2.11735,1.2975,0.00181186,0.00181186,0.00181186
23,1102.73,0.67047,0.54316,0.88245,0.79731,0.62938,0.64816,0.36274,1.80116,2.02176,1.38616,0.00180466,0.00180466,0.00180466
24,1137.77,0.6601,0.56048,0.87676,0.62546,0.58783,0.53905,0.29854,1.91744,2.63994,1.49497,0.0017985,0.0017985,0.0017985
25,1176.05,0.64533,0.55282,0.86285,0.62011,0.65296,0.661,0.37586,1.72941,1.97697,1.37306,0.00179158,0.00179158,0.00179158
26,1214.85,0.66015,0.53416,0.859,0.59564,0.512,0.5051,0.30181,1.61281,2.31049,1.3682,0.00178478,0.00178478,0.00178478
27,1253.99,0.65295,0.50407,0.85616,0.52398,0.51955,0.45561,0.27631,1.79893,2.31132,1.49849,0.00177714,0.00177714,0.00177714
28,1291.77,0.65827,0.55991,0.85913,0.46427,0.504,0.32635,0.17268,2.03289,2.7581,1.68209,0.00177056,0.00177056,0.00177056
29,1330.56,0.6298,0.54622,0.85913,0.50873,0.52193,0.4798,0.2997,1.718,2.28321,1.47632,0.00176308,0.00176308,0.00176308
30,1369.47,0.64002,0.51987,0.85366,0.46748,0.56,0.38334,0.23355,1.6235,2.35915,1.41186,0.00175669,0.00175669,0.00175669
31,1407.94,0.66967,0.50109,0.86584,0.54487,0.512,0.44839,0.26284,1.595,2.21706,1.39837,0.00174937,0.00174937,0.00174937
32,1445.82,0.65524,0.49883,0.84635,0.6685,0.512,0.55509,0.35948,1.40021,1.91197,1.28104,0.0017421,0.0017421,0.0017421
33,1482.65,0.64332,0.47564,0.84607,0.47369,0.648,0.4472,0.26509,1.65829,2.01286,1.41306,0.0017349,0.0017349,0.0017349
34,1520.15,0.6043,0.48356,0.85755,0.60558,0.536,0.55311,0.30839,1.71896,1.90695,1.43067,0.00172888,0.00172888,0.00172888
35,1557.31,0.62144,0.46735,0.84292,0.67517,0.552,0.52271,0.29187,1.50485,1.85049,1.30408,0.00172182,0.00172182,0.00172182
36,1595.12,0.61812,0.46051,0.83429,0.63078,0.608,0.53329,0.31364,1.60194,1.99023,1.29265,0.00171481,0.00171481,0.00171481
37,1632.5,0.6201,0.45338,0.8618,0.3729,0.6,0.30854,0.16848,1.73599,2.80299,1.37197,0.00170787,0.00170787,0.00170787
38,1669.74,0.55704,0.43146,0.8509,0.3752,0.584,0.32874,0.17693,1.62051,2.32757,1.31117,0.00170098,0.00170098,0.00170098
39,1706.94,0.60106,0.43975,0.85475,0.50324,0.40524,0.35388,0.19684,1.62001,2.58655,1.38293,0.00169415,0.00169415,0.00169415
40,1745.77,0.61339,0.45057,0.8664,0.50888,0.448,0.41383,0.24147,1.64456,2.13879,1.40846,0.00168737,0.00168737,0.00168737
41,1784.58,0.61186,0.4461,0.85053,0.42457,0.408,0.37853,0.23346,1.78766,2.65069,1.5482,0.00168065,0.00168065,0.00168065
42,1821.69,0.6086,0.4445,0.8462,0.65005,0.43096,0.51447,0.29933,1.8564,2.63017,1.58206,0.00167398,0.00167398,0.00167398
