x_mm,y_mm,u_px,v_px,area
140.0,-90.0,718.01,433.48,227
140.0,-60.0,711.67,404.4,315
140.0,60.0,722.69,206.84,400
140.0,90.0,712.85,162.99,223
160.0,-90.0,749.56,399.78,201
160.0,-60.0,747.33,365.68,261
160.0,-30.0,743.44,327.29,309
160.0,0.0,740.91,289.19,459
160.0,30.0,741.49,248.31,306
160.0,60.0,743.2,209.1,364
160.0,90.0,742.64,163.17,395
180.0,-60.0,781.56,362.7,317
180.0,-30.0,769.67,325.38,389
180.0,0.0,768.28,283.22,370
180.0,30.0,773.25,242.71,331
180.0,60.0,774.51,208.31,394
