x_mm,y_mm,u_px,v_px,area
160.0,-90.0,751.51,404.41,198
160.0,-60.0,708.66,402.49,200
160.0,-30.0,747.97,333.8,364
160.0,0.0,745.75,293.01,467
160.0,30.0,748.32,254.83,444
160.0,60.0,747.6,213.36,405
160.0,90.0,746.25,165.07,445
190.0,-90.0,788.28,396.69,122
190.0,-60.0,793.46,367.74,258
190.0,-30.0,785.72,327.46,383
190.0,0.0,786.55,286.3,402
190.0,30.0,793.48,246.69,353
190.0,60.0,790.2,206.7,333
190.0,90.0,779.26,169.08,302
220.0,-90.0,818.32,396.17,176
220.0,-60.0,821.17,362.72,236
220.0,-30.0,821.08,325.4,292
220.0,0.0,821.73,284.47,386
220.0,60.0,816.58,211.77,325
220.0,90.0,812.67,174.93,367
250.0,-60.0,845.23,354.68,315
250.0,-30.0,846.51,316.04,484
250.0,0.0,932.15,369.8,1208
250.0,30.0,932.21,321.5,702
250.0,60.0,873.41,355.12,2168
