x_mm,y_mm,z_mm,u_px,v_px,square,margin,status
160.0,-100.0,274.0,,,,,not_seen
160.0,-50.0,274.0,802.47,496.28,0.867,78.7,ok
160.0,0.0,274.0,794.77,421.42,0.824,78.4,ok
160.0,50.0,274.0,794.33,343.05,0.889,78.1,ok
160.0,100.0,274.0,794.7,254.46,0.969,72.5,ok
190.0,-100.0,274.0,852.78,556.01,0.929,74.6,ok
190.0,-50.0,274.0,852.61,556.18,0.936,75.1,ok
190.0,0.0,274.0,,,,,unreachable
190.0,50.0,274.0,849.23,333.56,0.885,71.6,ok
190.0,100.0,274.0,843.52,252.55,0.961,71.4,ok
220.0,-100.0,274.0,,,,,not_seen
220.0,-50.0,274.0,895.46,478.12,0.924,76.8,ok
220.0,0.0,274.0,894.47,403.92,0.915,76.8,ok
220.0,50.0,274.0,888.09,326.53,0.933,77.6,ok
220.0,100.0,274.0,892.66,247.38,0.971,70.0,ok
250.0,-100.0,274.0,892.51,247.43,0.965,70.1,ok
250.0,-50.0,274.0,939.93,472.06,0.934,74.0,ok
250.0,0.0,274.0,942.37,397.37,0.938,74.7,ok
250.0,50.0,274.0,942.79,397.16,0.942,73.5,ok
250.0,100.0,274.0,941.71,242.96,0.979,72.4,ok
280.0,-100.0,274.0,997.3,544.31,0.964,70.9,ok
280.0,-50.0,274.0,989.64,472.5,0.971,73.5,ok
280.0,0.0,274.0,986.66,390.81,0.971,72.8,ok
280.0,50.0,274.0,993.89,322.41,0.96,73.8,ok
280.0,100.0,274.0,991.95,322.82,0.964,72.0,ok
