kind,x_mm,y_mm,u_px,v_px,square,margin
grid,160.0,-80.0,807.36,531.42,0.915,78.1
grid,160.0,-40.0,802.22,481.16,0.868,81.9
grid,160.0,0.0,795.18,419.28,0.84,78.1
grid,160.0,40.0,792.17,358.63,0.869,76.6
grid,160.0,80.0,792.97,288.0,0.94,76.7
repeat,220.0,0.0,893.12,400.77,0.914,76.7
grid,200.0,-80.0,870.12,527.77,0.919,76.0
grid,200.0,80.0,862.37,280.94,0.926,77.1
repeat,220.0,0.0,893.91,398.36,0.921,75.5
grid,220.0,-80.0,897.29,515.38,0.952,76.2
grid,220.0,-40.0,897.76,462.93,0.928,77.7
grid,220.0,0.0,896.81,403.09,0.917,74.8
grid,220.0,40.0,889.9,343.1,0.93,75.7
grid,220.0,80.0,888.98,278.08,0.96,75.6
repeat,220.0,0.0,894.56,397.62,0.927,76.5
grid,250.0,-80.0,943.63,510.88,0.957,74.2
grid,250.0,-40.0,943.48,457.3,0.955,76.4
grid,250.0,0.0,943.89,395.67,0.946,76.3
grid,250.0,40.0,938.33,339.42,0.956,74.9
grid,250.0,80.0,941.47,275.3,0.964,75.2
repeat,220.0,0.0,896.92,399.56,0.924,77.4
grid,280.0,-80.0,993.94,511.26,0.973,70.6
grid,280.0,-40.0,987.18,446.85,0.979,73.2
grid,280.0,0.0,984.75,388.51,0.982,73.1
grid,280.0,40.0,984.35,332.01,0.975,72.0
grid,280.0,80.0,991.53,271.15,0.983,74.0
repeat,220.0,0.0,895.85,398.38,0.92,78.1
