kind,x_mm,y_mm,u_px,v_px,square,spread_px
grid,160.0,-90.0,809.17,543.71,0.927,0.06
grid,160.0,-60.0,805.67,505.99,0.889,0.12
grid,160.0,-30.0,800.37,462.02,0.851,0.02
grid,160.0,0.0,794.7,418.35,0.837,0.05
grid,160.0,30.0,792.26,372.65,0.87,0.13
grid,160.0,60.0,791.28,322.55,0.913,0.03
grid,160.0,90.0,793.29,270.03,0.956,0.12
repeat,220.0,0.0,892.65,400.07,0.915,0.0
grid,180.0,-90.0,836.42,540.32,0.937,0.1
grid,180.0,-60.0,837.74,502.21,0.899,0.08
grid,180.0,60.0,831.96,318.02,0.909,0.02
grid,180.0,90.0,824.56,267.84,0.966,0.06
repeat,220.0,0.0,893.7,400.26,0.91,0.0
grid,200.0,-90.0,867.49,531.8,0.952,0.06
grid,200.0,-60.0,871.24,501.41,0.912,0.03
grid,200.0,60.0,865.04,309.83,0.934,0.14
grid,200.0,90.0,857.99,264.41,0.959,0.08
repeat,220.0,0.0,893.31,396.6,0.931,0.0
grid,220.0,-90.0,894.09,530.24,0.956,0.08
grid,220.0,-60.0,896.83,492.25,0.943,0.04
grid,220.0,-30.0,897.09,446.66,0.927,0.03
grid,220.0,0.0,896.13,402.11,0.919,0.07
grid,220.0,30.0,891.73,357.01,0.923,0.08
grid,220.0,60.0,888.14,308.1,0.948,0.06
grid,220.0,90.0,888.9,260.31,0.965,0.07
repeat,220.0,0.0,893.98,397.65,0.929,0.0
grid,240.0,-90.0,922.21,526.85,0.967,0.08
grid,240.0,-60.0,929.77,486.59,0.95,0.09
grid,240.0,-30.0,926.47,441.31,0.945,0.07
grid,240.0,0.0,922.88,395.16,0.954,0.05
grid,240.0,30.0,919.26,352.14,0.955,0.01
grid,240.0,60.0,917.79,306.5,0.966,0.08
grid,240.0,90.0,925.18,260.93,0.974,0.88
repeat,220.0,0.0,896.33,397.7,0.924,0.0
grid,260.0,-90.0,956.02,523.84,0.974,0.03
grid,260.0,-60.0,957.42,482.68,0.971,0.07
grid,260.0,-30.0,955.81,440.87,0.963,0.08
grid,260.0,0.0,955.64,391.57,0.966,0.09
grid,260.0,30.0,952.73,350.32,0.972,0.12
grid,260.0,60.0,955.89,301.73,0.967,0.31
grid,260.0,90.0,956.06,254.29,0.975,0.06
repeat,220.0,0.0,896.23,397.0,0.921,0.0
grid,280.0,-90.0,994.97,525.43,0.975,0.14
grid,280.0,-60.0,988.69,481.76,0.975,0.14
grid,280.0,-30.0,991.99,436.63,0.974,0.04
grid,280.0,0.0,984.77,388.05,0.98,0.14
grid,280.0,30.0,984.73,344.33,0.975,0.05
grid,280.0,60.0,988.45,300.87,0.975,0.02
grid,280.0,90.0,992.42,255.75,0.977,0.09
repeat,220.0,0.0,891.04,396.61,0.935,0.0
grid,300.0,-90.0,1022.43,522.51,0.978,0.03
grid,300.0,-60.0,1019.21,476.54,0.977,0.06
grid,300.0,-30.0,1022.09,431.5,0.975,0.07
grid,300.0,0.0,1021.67,389.61,0.981,0.03
grid,300.0,30.0,1022.99,348.65,0.982,0.09
grid,300.0,60.0,1023.29,298.51,0.98,0.06
grid,300.0,90.0,1021.72,247.74,0.982,0.07
repeat,220.0,0.0,891.01,396.5,0.936,0.0
